ID,Class,Question
861,Patio Lawn and Garden,What size umbrella pole does this stand accommodate? Thank you.
862,Sports and Outdoors,Which Chinese brand is it?
863,Electronics,"I have a desktop computer and a magicjack, both needing to be wired to my router.It doesn't have enough ports.Can I split the desktop and the magicjak"
864,Pet Supplies,Is this D-Mannose powder or does it contain D-Mannose?
865,Tools and Home Improvement,is it for all sizes of biscuits or just one? which one/s?
866,Office Products,Is photo quality good on both laser and inkjet rinters?
867,Automotive,Does it come with door latches?
868,Automotive,Can you use this without a car rack?
869,Video Games,Is this product essentially the same as putting 2 aa rechargeable batteries into the controller and just plugging a micro usb until charged?
870,Musical Instruments,how long will it make smoke before it stops?
871,Home and Kitchen,"Would really appreciate the measured outside dimensions, this is critical for my intended use. Thanks."
872,Sports and Outdoors,Will this work for older people to board a boat from the shoreline?
873,Clothing Shoes and Jewelry,there are two different colors displayed in the pictures. is it the olive color of the main image or is it black like the two supplementary images?
874,Electronics,Can this be used outdoors? I need an outdoor camera that turns on along with lights.
875,Home and Kitchen,Is this shelf strong enough to hold coats and bags?
876,Electronics,Does wireles g adapter work with the xl4
877,Sports and Outdoors,Is this scope consistent at 500 yards? [Note: Please don't share your IGNORANCE here...just get to a location to test this proposition to find out if the adjustments needed to sight in at this SPECIFIC distance are consistent i.e. the same number of clicks to move the point of aim to coincide with the point of impact--which indicates an ADEQUATE sighting system. It is NOT Rocket Science nor Brain Surgery just simple applied Exterior Ballistics...Please do not respond if you cannot or will not answer the question. Thank you very much for useful information.]
878,Pet Supplies,"Is this ok to use with a 10 week old kitten? We would still use a regular feeder as well, right?"
879,Cell Phones and Accessories,The specs say it's 8.2 inches long. It doesn't look that big. Is that a correct measurement?
880,Electronics,Traffic How does the traffic alerts work? Does the screen turn roads green yellow red as on google maps? Why is FM needed and does this model have the MSN option?Thanks!!
881,Tools and Home Improvement,Is this item made in the USA or China or otherwise?
882,Electronics,Do you create an account after you get the device? I've seen no information about that process so far?
883,Electronics,1. Is this a 32bit operating system or 64bit operating system? 2. How long is the warranty，one year or two year？
884,Pet Supplies,Is this cage big enough for 2 guinea pigs?
885,Electronics,how much memory or how many hours of record time?
886,Sports and Outdoors,Do you have to wear a belt to use this holster or will it clip to your pants
887,Video Games,How long does the back light stay on? Can you customize it?
888,Electronics,whether it will work on windows 8.1?
889,Home and Kitchen,difference between everyday scissors and the unlimited orininal scissors
890,Sports and Outdoors,"Is the picture distorted or is it really that oblong? In the games, Link's shield looks shorter and wider."
891,Sports and Outdoors,is it for right or left side use
892,Electronics,Question I have a 2008 Ford F-150 Super cab and wanted too know if this would fit with the dash kit and is this a simple plug and play with the right Stereo/Radio Wire Harness Plug? i'm trying to find the right HU because I want to have control on my Iphone and if my usb cable for my iphone would work with this? I'm just trying too see if its an easy install by your self. Thanks
893,Office Products,"does this scan 35mm slides? I was about to buy a mp960 to scan 35 mm slides. The mp970 looks like the replacement model, but no mention of scanning slides. Anyone know if I have to stick with the previous model?Thanks"
894,Home and Kitchen,What wall color would you suggest or did you use?
895,Electronics,"video output? I can hook up my ipod touch and hear netflix and hulu, but can't see either on the tv screen. What am I doing wrong?"
896,Patio Lawn and Garden,what size is the stone?
897,Home and Kitchen,"Am I using this right...Did I get a defect? My rug was barely cleaned, and it took me a good 30mins for a small area rug to suck up any dog hair."
898,Electronics,Will this work for an iPad mini?
899,Automotive,Will this lights fit a 2014-2015 fj cruiser?
900,Home and Kitchen,"Is it open in the space behind the tower? I like there being a spot for the tower, but I don't want it to be too boxed in and over heat."
901,Electronics,Does it fit D800 with 14-24mm?
902,Home and Kitchen,Is this cracker easy to use for an elderly person?
903,Electronics,"I have a MacBook Pro 8,2 and this caddy. After installation, my MacBook Pro won't recognize the drive in the caddy. Do I need a different caddy?"
904,Home and Kitchen,"whole wheat bread question Hi - Several people have said this machine makes good whole wheat bread. I'd like to know if that's the case when only whole wheat flour is used, no white flour. I hope someone who has this bread maker can answer. Thanks."
905,Pet Supplies,Are the mesh bags completely sealed? Or are they zipped closed? (Are they re-usable basically)
906,Home and Kitchen,Will the recycling bin fit something like a plastic gallon milk jug?
907,Sports and Outdoors,Would this be good to cool off a baby's carseat?
908,Toys and Games,Where is this manufactured?
909,Home and Kitchen,Does anyone have the actual diameter of this strainer? The product dimension says 1 x 6 x 6 inches. It seems to me that 6 inches is very big for a kitchen strainer.
910,Home and Kitchen,the weigh
911,Home and Kitchen,How deep are the side shelves??
912,Tools and Home Improvement,Which is better? A shear or a nibbler? What will one do that the other can't? Kind of confused.
913,Pet Supplies,does this cage have a pull out bottom for easy cleaning? and how many drop down openings are there?
914,Tools and Home Improvement,We had a problem with a similar shade where the bulb broke when removing the shade. Is the clip very tight?
915,Pet Supplies,Can you carry the compartments.
916,Pet Supplies,Whats length of the hose this reactor comes with?
917,Patio Lawn and Garden,Does this trimmer carry any warranty?
918,Home and Kitchen,Is there a way to wall mount it?
919,Patio Lawn and Garden,"The picture shows 4 misters, do you get 1 or 4 when ordered?"
920,Sports and Outdoors,So I can use this for mountain and wall climbing?
921,Home and Kitchen,I have a 1978 Oster Blender will the Milkshake Blade work
922,Tools and Home Improvement,I want to use like a wallpaper border. Are the decals the same size? Dimensions of each decal? Thanks!
923,Cell Phones and Accessories,Can I buy this phone from Amazon and still be able to activate through Virgin Mobile or do I need to buy it on the Virgin Mobile store?
924,Patio Lawn and Garden,Will 2 adult bicycles fit in this shed?
925,Electronics,"Can you keep the excess cord wrapped in this when earbuds are in use -- as in when jogging, etc., or is there a different product for that?"
926,Electronics,How hard is it to remove the case? I have the student edition and it came with a charging stand and keyboard so I would like to remove the case often
927,Pet Supplies,"How large is the opening for the cat to crawl in? My Abyssinian is rather ""fluffy""."
928,Home and Kitchen,How do you make the cake stand?
929,Toys and Games,How old does it fit?
